group,variable,value,religion
1,Romania,1,Reformed
2,Romania,1,Reformed
3,Romania,1,Reformed
4,Romania,1,Reformed
5,Romania,1,Reformed
6,Romania,1,Reformed
7,Romania,1,Reformed
8,Romania,1,Reformed
9,Romania,1,Reformed
10,Romania,1,Reformed
11,Romania,1,Reformed
12,Romania,1,Reformed
13,Romania,1,Reformed
14,Romania,1,Reformed
15,Romania,1,Reformed
16,Romania,1,Reformed
17,Romania,1,Reformed
18,Romania,1,Reformed
19,Romania,1,Reformed
20,Romania,1,Reformed
21,Romania,1,Reformed
22,Romania,1,Reformed
23,Romania,1,Reformed
24,Romania,1,Reformed
25,Romania,1,Reformed
26,Romania,1,Reformed
27,Romania,1,Reformed
28,Romania,1,Reformed
29,Romania,1,Reformed
30,Romania,1,Reformed
31,Romania,1,Reformed
32,Romania,1,Reformed
33,Romania,1,Reformed
34,Romania,1,Reformed
35,Romania,1,Reformed
36,Romania,1,Reformed
37,Romania,1,Reformed
38,Romania,1,Reformed
39,Romania,1,Reformed
40,Romania,1,Reformed
41,Romania,1,Reformed
42,Romania,1,Reformed
43,Romania,1,Reformed
44,Romania,1,Reformed
45,Romania,1,Reformed
46,Romania,1,Reformed
47,Romania,2,Roman_Catholicism
48,Romania,2,Roman_Catholicism
49,Romania,2,Roman_Catholicism
51,Romania,2,Roman_Catholicism
52,Romania,2,Roman_Catholicism
53,Romania,2,Roman_Catholicism
54,Romania,2,Roman_Catholicism
55,Romania,2,Roman_Catholicism
56,Romania,2,Roman_Catholicism
57,Romania,2,Roman_Catholicism
58,Romania,2,Roman_Catholicism
59,Romania,2,Roman_Catholicism
60,Romania,2,Roman_Catholicism
61,Romania,2,Roman_Catholicism
62,Romania,2,Roman_Catholicism
63,Romania,2,Roman_Catholicism
64,Romania,2,Roman_Catholicism
65,Romania,2,Roman_Catholicism
66,Romania,2,Roman_Catholicism
67,Romania,2,Roman_Catholicism
68,Romania,2,Roman_Catholicism
69,Romania,2,Roman_Catholicism
70,Romania,2,Roman_Catholicism
71,Romania,2,Roman_Catholicism
72,Romania,2,Roman_Catholicism
73,Romania,2,Roman_Catholicism
74,Romania,2,Roman_Catholicism
75,Romania,2,Roman_Catholicism
76,Romania,2,Roman_Catholicism
77,Romania,2,Roman_Catholicism
78,Romania,2,Roman_Catholicism
79,Romania,2,Roman_Catholicism
80,Romania,2,Roman_Catholicism
81,Romania,2,Roman_Catholicism
82,Romania,2,Roman_Catholicism
83,Romania,2,Roman_Catholicism
84,Romania,2,Roman_Catholicism
85,Romania,2,Roman_Catholicism
86,Romania,2,Roman_Catholicism
87,Romania,2,Roman_Catholicism
88,Romania,3,Unitarian
89,Romania,3,Unitarian
90,Romania,3,Unitarian
91,Romania,3,Unitarian
92,Romania,4,Romanian_Orthodox
93,Romania,4,Romanian_Orthodox
94,Romania,5,Other
95,Romania,5,Other
96,Romania,5,Other
97,Romania,5,Other
98,Romania,5,Other
99,Romania,5,Other
100,Romania,5,Other
1,Slovakia,2,Roman_Catholicism
2,Slovakia,2,Roman_Catholicism
3,Slovakia,2,Roman_Catholicism
4,Slovakia,2,Roman_Catholicism
5,Slovakia,2,Roman_Catholicism
6,Slovakia,2,Roman_Catholicism
7,Slovakia,2,Roman_Catholicism
8,Slovakia,2,Roman_Catholicism
9,Slovakia,2,Roman_Catholicism
10,Slovakia,2,Roman_Catholicism
11,Slovakia,2,Roman_Catholicism
12,Slovakia,2,Roman_Catholicism
13,Slovakia,2,Roman_Catholicism
14,Slovakia,2,Roman_Catholicism
15,Slovakia,2,Roman_Catholicism
16,Slovakia,2,Roman_Catholicism
17,Slovakia,2,Roman_Catholicism
18,Slovakia,2,Roman_Catholicism
19,Slovakia,2,Roman_Catholicism
20,Slovakia,2,Roman_Catholicism
21,Slovakia,2,Roman_Catholicism
22,Slovakia,2,Roman_Catholicism
23,Slovakia,2,Roman_Catholicism
24,Slovakia,2,Roman_Catholicism
25,Slovakia,2,Roman_Catholicism
26,Slovakia,2,Roman_Catholicism
27,Slovakia,2,Roman_Catholicism
28,Slovakia,2,Roman_Catholicism
29,Slovakia,2,Roman_Catholicism
30,Slovakia,2,Roman_Catholicism
31,Slovakia,2,Roman_Catholicism
32,Slovakia,2,Roman_Catholicism
33,Slovakia,2,Roman_Catholicism
34,Slovakia,2,Roman_Catholicism
35,Slovakia,2,Roman_Catholicism
36,Slovakia,2,Roman_Catholicism
37,Slovakia,2,Roman_Catholicism
38,Slovakia,2,Roman_Catholicism
39,Slovakia,2,Roman_Catholicism
40,Slovakia,2,Roman_Catholicism
41,Slovakia,2,Roman_Catholicism
42,Slovakia,2,Roman_Catholicism
43,Slovakia,2,Roman_Catholicism
44,Slovakia,2,Roman_Catholicism
45,Slovakia,2,Roman_Catholicism
46,Slovakia,2,Roman_Catholicism
47,Slovakia,2,Roman_Catholicism
48,Slovakia,2,Roman_Catholicism
49,Slovakia,2,Roman_Catholicism
50,Slovakia,2,Roman_Catholicsim
51,Slovakia,2,Roman_Catholicism
52,Slovakia,2,Roman_Catholicism
53,Slovakia,2,Roman_Catholicism
54,Slovakia,2,Roman_Catholicism
55,Slovakia,2,Roman_Catholicism
56,Slovakia,2,Roman_Catholicism
57,Slovakia,2,Roman_Catholicism
58,Slovakia,2,Roman_Catholicism
59,Slovakia,2,Roman_Catholicism
60,Slovakia,2,Roman_Catholicism
61,Slovakia,2,Roman_Catholicism
62,Slovakia,2,Roman_Catholicism
63,Slovakia,2,Roman_Catholicism
64,Slovakia,2,Roman_Catholicism
65,Slovakia,2,Roman_Catholicism
66,Slovakia,2,Roman_Catholicism
67,Slovakia,2,Roman_Catholicism
68,Slovakia,2,Roman_Catholicism
69,Slovakia,2,Roman_Catholicism
70,Slovakia,2,Roman_Catholicism
71,Slovakia,2,Roman_Catholicism
72,Slovakia,2,Roman_Catholicism
73,Slovakia,2,Roman_Catholicism
74,Slovakia,6,Calvinism
75,Slovakia,6, Calvinism
76,Slovakia,6, Calvinism
77,Slovakia,6, Calvinism
78,Slovakia,6, Calvinism
79,Slovakia,6, Calvinism
80,Slovakia,6, Calvinism
81,Slovakia,6, Calvinism
82,Slovakia,6, Calvinism
83,Slovakia,6, Calvinism
84,Slovakia,6, Calvinism
85,Slovakia,6, Calvinism
86,Slovakia,6, Calvinism
87,Slovakia,6, Calvinism
88,Slovakia,6, Calvinism
89,Slovakia,6, Calvinism
90,Slovakia,5,Other
91,Slovakia,5,Other
92,Slovakia,5,Other
93,Slovakia,5,Other
94,Slovakia,5,Other
95,Slovakia,5,Other
96,Slovakia,5,Other
97,Slovakia,5,Other
98,Slovakia,5,Other
99,Slovakia,5,Other
100,Slovakia,5,Other
1,Serbia,7,Catholicism
2,Serbia,7,Catholicism
3,Serbia,7,Catholicism
4,Serbia,7,Catholicism
5,Serbia,7,Catholicism
6,Serbia,7,Catholicism
7,Serbia,7,Catholicism
8,Serbia,7,Catholicism
9,Serbia,7,Catholicism
10,Serbia,7,Catholicism
11,Serbia,7,Catholicism
12,Serbia,7,Catholicism
13,Serbia,7,Catholicism
14,Serbia,7,Catholicism
15,Serbia,7,Catholicism
16,Serbia,7,Catholicism
17,Serbia,7,Catholicism
18,Serbia,7,Catholicism
19,Serbia,7,Catholicism
20,Serbia,7,Catholicism
21,Serbia,7,Catholicism
22,Serbia,7,Catholicism
23,Serbia,7,Catholicism
24,Serbia,7,Catholicism
25,Serbia,7,Catholicism
26,Serbia,7,Catholicism
27,Serbia,7,Catholicism
28,Serbia,7,Catholicism
29,Serbia,7,Catholicism
30,Serbia,7,Catholicism
31,Serbia,7,Catholicism
32,Serbia,7,Catholicism
33,Serbia,7,Catholicism
34,Serbia,7,Catholicism
35,Serbia,7,Catholicism
36,Serbia,7,Catholicism
37,Serbia,7,Catholicism
38,Serbia,7,Catholicism
39,Serbia,7,Catholicism
40,Serbia,7,Catholicism
41,Serbia,7,Catholicism
42,Serbia,7,Catholicism
43,Serbia,7,Catholicism
44,Serbia,7,Catholicism
45,Serbia,7,Catholicism
46,Serbia,7,Catholicism
47,Serbia,7,Catholicism
48,Serbia,7,Catholicism
49,Serbia,7,Catholicism
50,Serbia,7,Catholicism
51,Serbia,7,Catholicism
52,Serbia,7,Catholicism
53,Serbia,7,Catholicism
54,Serbia,7,Catholicism
55,Serbia,7,Catholicism
56,Serbia,7,Catholicism
57,Serbia,7,Catholicism
58,Serbia,7,Catholicism
59,Serbia,7,Catholicism
60,Serbia,7,Catholicism
61,Serbia,7,Catholicism
62,Serbia,7,Catholicism
63,Serbia,7,Catholicism
64,Serbia,7,Catholicism
65,Serbia,7,Catholicism
66,Serbia,7,Catholicism
67,Serbia,7,Catholicism
68,Serbia,7,Catholicism
69,Serbia,7,Catholicism
70,Serbia,7,Catholicism
71,Serbia,7,Catholicism
72,Serbia,7,Catholicism
73,Serbia,7,Catholicism
74,Serbia,7,Catholicism
75,Serbia,7,Catholicism
76,Serbia,7,Catholicism
77,Serbia,7,Catholicism
78,Serbia,7,Catholicism
79,Serbia,7,Catholicism
80,Serbia,7,Catholicism
81,Serbia,7,Catholicism
82,Serbia,7,Catholicism
83,Serbia,7,Catholicism
84,Serbia,7,Catholicism
85,Serbia,7,Catholicism
86,Serbia,7,Catholicism
87,Serbia,7,Catholicism
88,Serbia,7,Catholicism
89,Serbia,8,Protestantism
90,Serbia,8,Protestantism
91,Serbia,8,Protestantism
92,Serbia,8,Protestantism
93,Serbia,8,Protestantism
94,Serbia,8,Protestantism
95,Serbia,9,Eastern_Orthodox
96,Serbia,5,Other
97,Serbia,5,Other
98,Serbia,5,Other
99,Serbia,5,Other
100,Serbia,5,Other
1,Austria,2,Roman_Catholicism
2,Austria,2,Roman_Catholicism
3,Austria,2,Roman_Catholicism
4,Austria,2,Roman_Catholicism
5,Austria,2,Roman_Catholicism
6,Austria,2,Roman_Catholicism
7,Austria,2,Roman_Catholicism
8,Austria,2,Roman_Catholicism
9,Austria,2,Roman_Catholicism
10,Austria,2,Roman_Catholicism
11,Austria,2,Roman_Catholicism
12,Austria,2,Roman_Catholicism
13,Austria,2,Roman_Catholicism
14,Austria,2,Roman_Catholicism
15,Austria,2,Roman_Catholicism
16,Austria,2,Roman_Catholicism
17,Austria,2,Roman_Catholicism
18,Austria,2,Roman_Catholicism
19,Austria,2,Roman_Catholicism
20,Austria,2,Roman_Catholicism
21,Austria,2,Roman_Catholicism
22,Austria,2,Roman_Catholicism
23,Austria,2,Roman_Catholicism
24,Austria,2,Roman_Catholicism
25,Austria,2,Roman_Catholicism
26,Austria,2,Roman_Catholicism
