Country,Long,Lat,PopL,PopH
Czechia,49.8175,15.4730,9049,19932
Romania,45.9432,24.9668,1431807,1431807
Slovakia,48.6690,19.6990,458467,458467
Serbia,44.0165,21.0059,253899,253899
Ukraine,48.3794,31.1656,156600,156600
Austria,47.5162,14.5501,55038,92000
Croatia,55.1694,23.8813,1055,14048
Slovenia,46.1512,14.9955,6243,6243
USA,39.7391500,-104.9847000,1763081,4000000
Canada,56.1304,-106.3468,316765,316765
Israel,31.771959,35.217018,200000,250000
Germany,48.137154,11.576124,120000,207035
France,46.2276,2.2137,6818,146000
Brazil,-14.2350,-51.9253,100000,1000000
Russia,55.751244,37.618423,76500,76500
Australia,-25.2744,133.7751,69160,69160
United Kingdom,51.5085300,-0.1257400,91000,250000
Chile,-35.6751,-71.5430,50000,50000
Argentina,-38.4161,-63.6167,50000,50000
Sweden,60.1282,18.6435,16676,33018
Switzerland,46.8182,8.2275,25000,25000
Turkey,41.015137,28.979530,6800,6800
Mexico,23.6345,-102.5528,3500,3500
Ireland,53.4129,-8.2439,8648,12000
Finland,61.9241,25.7482,2283,3000
Poland,52.2297700,21.0117800,1500,1718
New Zealand,-40.9006,174.8860,1476,1476
Norway,60.4720,8.4689,5000,5000
Denmark,56.2639,9.5018,5525,55000
Italy,41.8719,12.5674,5000,8181
Belgium,50.5039,4.4699,6464,6464
Greece,41.8719,12.5674,2387,2387
Luxembourg,49.8153,6.1296,1589,1589
Cyprus,35.1264,33.4299,620,620
Portugal,39.3999,-8.2245,0,420
Latvia,56.8796,24.6032,0,187
Estonia,58.5953,25.0136,0,173
Bulgaria,42.7339,25.4858,0,144
Lithuania,55.1694,23.8813,110,110
Spain,40.4637,-3.7492,9039,9039
Shanghai,31.2222200,121.4580600,100,411
