Country,Long,Lat,PopL,PopH
Csehország,49.8175,15.4730,9049,19932
Románia,45.9432,24.9668,1431807,1431807
Szlovákia,48.6690,19.6990,458467,458467
Szlovákia,44.0165,21.0059,253899,253899
Ukrajna,48.3794,31.1656,156600,156600
Ausztria,47.5162,14.5501,55038,92000
Horvátország,55.1694,23.8813,1055,14048
Szlovénia,46.1512,14.9955,6243,6243
USA,39.7391500,-104.9847000,1763081,4000000
Kanada,56.1304,-106.3468,316765,316765
Izrael,31.771959,35.217018,200000,250000
Németország,48.137154,11.576124,120000,207035
Németország,46.2276,2.2137,6818,146000
Brazília,-14.2350,-51.9253,100000,1000000
Oroszország,55.751244,37.618423,76500,76500
Ausztrália,-25.2744,133.7751,69160,69160
Egyesült Királyság,51.5085300,-0.1257400,91000,250000
Chile,-35.6751,-71.5430,50000,50000
Argentína,-38.4161,-63.6167,50000,50000
Svédország,60.1282,18.6435,16676,33018
Svájc,46.8182,8.2275,25000,25000
Törökország,41.015137,28.979530,6800,6800
Mexikó,23.6345,-102.5528,3500,3500
Írország,53.4129,-8.2439,8648,12000
Finnország,61.9241,25.7482,2283,3000
Lengyelország,52.2297700,21.0117800,1500,1718
Új-Zéland,-40.9006,174.8860,1476,1476
Norvégia,60.4720,8.4689,5000,5000
Dánia,56.2639,9.5018,5525,55000
Olaszország,41.8719,12.5674,5000,8181
Belgium,50.5039,4.4699,6464,6464
Görögország,41.8719,12.5674,2387,2387
Luxembourg,49.8153,6.1296,1589,1589
Ciprus,35.1264,33.4299,620,620
Portugália,39.3999,-8.2245,0,420
Lettorság,56.8796,24.6032,0,187
Észtország,58.5953,25.0136,0,173
Bulgária,42.7339,25.4858,0,144
Litvánia,55.1694,23.8813,110,110
Spanyolország,40.4637,-3.7492,9039,9039
Sanghaj,31.2222200,121.4580600,100,411
